timestamp,location_id,hour,is_weekend,weather,event,traffic_volume,average_speed,congestion_level
2026-01-08 03:00:00.872539,dadar_tt,3,False,Cloudy,None,37,48.67,Low
2026-01-08 03:00:00.872539,saki_naka,3,False,Rainy,Festival,93,18.67,High
2026-01-08 03:00:00.872539,jvlr,3,False,Cloudy,Festival,58,36.32,Medium
2026-01-08 03:00:00.872539,colaba_causeway,3,False,Foggy,None,46,40.68,Medium
2026-01-08 03:00:00.872539,link_road,3,False,Foggy,VIP Movement,56,36.4,Medium
2026-01-08 04:00:00.872539,bandra_worli_sea_link,4,False,Rainy,None,32,44.94,Medium
2026-01-08 04:00:00.872539,western_express_highway,4,False,Rainy,None,35,42.06,Medium
2026-01-08 04:00:00.872539,eastern_express_highway,4,False,Clear,None,24,48.46,Low
2026-01-08 04:00:00.872539,dadar_tt,4,False,Clear,Cricket Match,54,41.76,Medium
2026-01-08 04:00:00.872539,saki_naka,4,False,Clear,None,36,43.86,Medium
2026-01-08 04:00:00.872539,jvlr,4,False,Cloudy,None,22,48.73,Low
2026-01-08 04:00:00.872539,colaba_causeway,4,False,Cloudy,None,43,44.61,Medium
2026-01-08 04:00:00.872539,link_road,4,False,Rainy,None,45,40.48,Medium
2026-01-08 05:00:00.872539,bandra_worli_sea_link,5,False,Cloudy,None,50,40.59,Medium
2026-01-08 05:00:00.872539,western_express_highway,5,False,Cloudy,Festival,69,32.97,Medium
2026-01-08 05:00:00.872539,eastern_express_highway,5,False,Rainy,None,46,42.22,Medium
2026-01-08 05:00:00.872539,dadar_tt,5,False,Rainy,VIP Movement,39,45.54,Low
2026-01-08 05:00:00.872539,saki_naka,5,False,Clear,Cricket Match,67,30.71,Medium
2026-01-08 05:00:00.872539,jvlr,5,False,Clear,Accident,70,36.85,Medium
2026-01-08 05:00:00.872539,colaba_causeway,5,False,Clear,None,45,41.98,Medium
2026-01-08 05:00:00.872539,link_road,5,False,Cloudy,Accident,94,21.48,High
2026-01-08 06:00:00.872539,bandra_worli_sea_link,6,False,Clear,None,32,50.93,Low
2026-01-08 06:00:00.872539,western_express_highway,6,False,Clear,None,46,46.98,Low
2026-01-08 06:00:00.872539,eastern_express_highway,6,False,Clear,None,30,46.78,Low
2026-01-08 06:00:00.872539,dadar_tt,6,False,Foggy,None,25,47.56,Low
2026-01-08 06:00:00.872539,saki_naka,6,False,Rainy,Accident,114,14.59,Critical
2026-01-08 06:00:00.872539,jvlr,6,False,Rainy,None,45,41.6,Medium
2026-01-08 06:00:00.872539,colaba_causeway,6,False,Rainy,None,39,46.75,Low
2026-01-08 06:00:00.872539,link_road,6,False,Rainy,None,28,46.57,Low
2026-01-08 07:00:00.872539,bandra_worli_sea_link,7,False,Cloudy,None,49,40.52,Medium
2026-01-08 07:00:00.872539,western_express_highway,7,False,Cloudy,None,35,42.95,Medium
2026-01-08 07:00:00.872539,eastern_express_highway,7,False,Cloudy,Festival,45,42.41,Medium
2026-01-08 07:00:00.872539,dadar_tt,7,False,Clear,Cricket Match,52,39.15,Medium
2026-01-08 07:00:00.872539,saki_naka,7,False,Cloudy,None,20,54.5,Low
2026-01-08 07:00:00.872539,jvlr,7,False,Foggy,None,24,50.56,Low
2026-01-08 07:00:00.872539,colaba_causeway,7,False,Cloudy,None,40,47.27,Low
2026-01-08 07:00:00.872539,link_road,7,False,Rainy,None,41,42.2,Medium
2026-01-08 08:00:00.872539,bandra_worli_sea_link,8,False,Cloudy,None,26,48.08,Low
2026-01-08 08:00:00.872539,western_express_highway,8,False,Cloudy,None,49,48.98,Low
2026-01-08 08:00:00.872539,eastern_express_highway,8,False,Cloudy,None,24,50.06,Low
2026-01-08 08:00:00.872539,dadar_tt,8,False,Foggy,None,48,41.95,Medium
2026-01-08 08:00:00.872539,saki_naka,8,False,Clear,None,24,47.19,Low
2026-01-08 08:00:00.872539,jvlr,8,False,Clear,Accident,56,38.21,Medium
2026-01-08 08:00:00.872539,colaba_causeway,8,False,Rainy,None,41,44.82,Medium
2026-01-08 08:00:00.872539,link_road,8,False,Clear,None,46,36.43,Medium
2026-01-08 09:00:00.872539,bandra_worli_sea_link,9,False,Foggy,None,82,27.3,High
2026-01-08 09:00:00.872539,western_express_highway,9,False,Clear,Accident,200,10.21,Critical
2026-01-08 09:00:00.872539,eastern_express_highway,9,False,Foggy,Festival,178,5.0,Critical
2026-01-08 09:00:00.872539,dadar_tt,9,False,Rainy,None,93,21.72,High
2026-01-08 09:00:00.872539,saki_naka,9,False,Rainy,None,127,11.7,Critical
2026-01-08 09:00:00.872539,jvlr,9,False,Clear,None,68,37.38,Medium
2026-01-08 09:00:00.872539,colaba_causeway,9,False,Clear,None,106,11.99,Critical
2026-01-08 09:00:00.872539,link_road,9,False,Foggy,None,108,18.67,High
2026-01-08 10:00:00.872539,bandra_worli_sea_link,10,False,Cloudy,None,78,21.65,High
2026-01-08 10:00:00.872539,western_express_highway,10,False,Cloudy,None,85,28.17,High
2026-01-08 10:00:00.872539,eastern_express_highway,10,False,Cloudy,None,85,22.15,High
2026-01-08 10:00:00.872539,dadar_tt,10,False,Cloudy,None,91,18.57,High
2026-01-08 10:00:00.872539,saki_naka,10,False,Cloudy,None,101,19.18,High
2026-01-08 10:00:00.872539,jvlr,10,False,Foggy,None,93,22.47,High
2026-01-08 10:00:00.872539,colaba_causeway,10,False,Cloudy,None,80,28.54,High
2026-01-08 10:00:00.872539,link_road,10,False,Rainy,None,127,5.0,Critical
2026-01-08 11:00:00.872539,bandra_worli_sea_link,11,False,Clear,None,76,25.0,High
2026-01-08 11:00:00.872539,western_express_highway,11,False,Foggy,None,119,11.04,Critical
2026-01-08 11:00:00.872539,eastern_express_highway,11,False,Cloudy,Festival,97,19.68,High
2026-01-08 11:00:00.872539,dadar_tt,11,False,Clear,Accident,206,5.0,Critical
2026-01-08 11:00:00.872539,saki_naka,11,False,Rainy,None,115,16.2,High
2026-01-08 11:00:00.872539,jvlr,11,False,Foggy,None,97,21.0,High
2026-01-08 11:00:00.872539,colaba_causeway,11,False,Rainy,None,132,8.64,Critical
2026-01-08 11:00:00.872539,link_road,11,False,Cloudy,None,88,25.59,High
2026-01-08 12:00:00.872539,bandra_worli_sea_link,12,False,Cloudy,None,37,48.12,Low
2026-01-08 12:00:00.872539,western_express_highway,12,False,Cloudy,None,36,44.19,Medium
2026-01-08 12:00:00.872539,eastern_express_highway,12,False,Cloudy,Cricket Match,63,31.06,Medium
2026-01-08 12:00:00.872539,dadar_tt,12,False,Cloudy,None,23,42.87,Medium
2026-01-08 12:00:00.872539,saki_naka,12,False,Cloudy,None,49,37.34,Medium
2026-01-08 12:00:00.872539,jvlr,12,False,Foggy,None,28,49.06,Low
2026-01-08 12:00:00.872539,colaba_causeway,12,False,Clear,Cricket Match,37,43.81,Medium
2026-01-08 12:00:00.872539,link_road,12,False,Cloudy,None,46,43.15,Medium
2026-01-08 13:00:00.872539,bandra_worli_sea_link,13,False,Clear,VIP Movement,45,38.48,Medium
2026-01-08 13:00:00.872539,western_express_highway,13,False,Cloudy,VIP Movement,72,30.71,Medium
2026-01-08 13:00:00.872539,eastern_express_highway,13,False,Rainy,None,27,44.51,Medium
2026-01-08 13:00:00.872539,dadar_tt,13,False,Rainy,Festival,39,46.45,Low
2026-01-08 13:00:00.872539,saki_naka,13,False,Foggy,None,31,46.67,Low
2026-01-08 13:00:00.872539,jvlr,13,False,Rainy,None,33,50.14,Low
2026-01-08 13:00:00.872539,colaba_causeway,13,False,Cloudy,None,48,40.55,Medium
2026-01-08 13:00:00.872539,link_road,13,False,Rainy,None,27,48.58,Low
2026-01-08 14:00:00.872539,bandra_worli_sea_link,14,False,Foggy,None,46,49.2,Low
2026-01-08 14:00:00.872539,western_express_highway,14,False,Rainy,None,40,40.36,Medium
2026-01-08 14:00:00.872539,eastern_express_highway,14,False,Foggy,None,38,43.85,Medium
2026-01-08 14:00:00.872539,dadar_tt,14,False,Clear,VIP Movement,54,36.86,Medium
2026-01-08 14:00:00.872539,saki_naka,14,False,Clear,None,27,50.89,Low
2026-01-08 14:00:00.872539,jvlr,14,False,Foggy,None,53,44.87,Medium
2026-01-08 14:00:00.872539,colaba_causeway,14,False,Cloudy,None,43,44.89,Medium
2026-01-08 14:00:00.872539,link_road,14,False,Cloudy,None,41,43.52,Medium
2026-01-08 15:00:00.872539,bandra_worli_sea_link,15,False,Clear,None,40,46.53,Low
2026-01-08 15:00:00.872539,western_express_highway,15,False,Foggy,None,28,54.57,Low
2026-01-08 15:00:00.872539,eastern_express_highway,15,False,Foggy,None,29,51.65,Low
2026-01-08 15:00:00.872539,dadar_tt,15,False,Rainy,None,46,36.73,Medium
2026-01-08 15:00:00.872539,saki_naka,15,False,Rainy,None,41,40.34,Medium
2026-01-08 15:00:00.872539,jvlr,15,False,Rainy,None,29,47.18,Low
2026-01-08 15:00:00.872539,colaba_causeway,15,False,Foggy,None,24,51.57,Low
2026-01-08 15:00:00.872539,link_road,15,False,Clear,None,26,50.66,Low
2026-01-08 16:00:00.872539,bandra_worli_sea_link,16,False,Cloudy,None,42,41.08,Medium
2026-01-08 16:00:00.872539,western_express_highway,16,False,Cloudy,None,49,45.33,Low
2026-01-08 16:00:00.872539,eastern_express_highway,16,False,Clear,None,42,41.0,Medium
2026-01-08 16:00:00.872539,dadar_tt,16,False,Rainy,Accident,65,35.05,Medium
2026-01-08 16:00:00.872539,saki_naka,16,False,Clear,None,36,45.12,Low
2026-01-08 16:00:00.872539,jvlr,16,False,Rainy,None,45,41.85,Medium
2026-01-08 16:00:00.872539,colaba_causeway,16,False,Foggy,None,29,50.7,Low
2026-01-08 16:00:00.872539,link_road,16,False,Rainy,None,49,40.06,Medium
2026-01-08 17:00:00.872539,bandra_worli_sea_link,17,False,Clear,Cricket Match,64,33.92,Medium
2026-01-08 17:00:00.872539,western_express_highway,17,False,Rainy,None,37,46.12,Low
2026-01-08 17:00:00.872539,eastern_express_highway,17,False,Foggy,None,39,42.29,Medium
2026-01-08 17:00:00.872539,dadar_tt,17,False,Foggy,None,23,42.67,Medium
2026-01-08 17:00:00.872539,saki_naka,17,False,Clear,Accident,98,20.56,High
2026-01-08 17:00:00.872539,jvlr,17,False,Foggy,None,47,36.29,Medium
2026-01-08 17:00:00.872539,colaba_causeway,17,False,Cloudy,Cricket Match,34,47.17,Low
2026-01-08 17:00:00.872539,link_road,17,False,Rainy,Festival,76,29.4,High
2026-01-08 18:00:00.872539,bandra_worli_sea_link,18,False,Rainy,None,133,6.59,Critical
2026-01-08 18:00:00.872539,western_express_highway,18,False,Clear,None,76,29.86,High
2026-01-08 18:00:00.872539,eastern_express_highway,18,False,Rainy,None,101,17.8,High
2026-01-08 18:00:00.872539,dadar_tt,18,False,Rainy,None,113,12.97,Critical
2026-01-08 18:00:00.872539,saki_naka,18,False,Cloudy,None,80,27.31,High
2026-01-08 18:00:00.872539,jvlr,18,False,Clear,None,78,30.34,Medium
2026-01-08 18:00:00.872539,colaba_causeway,18,False,Foggy,None,112,16.78,High
2026-01-08 18:00:00.872539,link_road,18,False,Cloudy,Festival,156,6.94,Critical
2026-01-08 19:00:00.872539,bandra_worli_sea_link,19,False,Foggy,None,93,23.21,High
2026-01-08 19:00:00.872539,western_express_highway,19,False,Clear,None,102,19.54,High
2026-01-08 19:00:00.872539,eastern_express_highway,19,False,Cloudy,None,96,19.79,High
2026-01-08 19:00:00.872539,dadar_tt,19,False,Foggy,None,118,7.07,Critical
2026-01-08 19:00:00.872539,saki_naka,19,False,Clear,None,79,30.01,Medium
2026-01-08 19:00:00.872539,jvlr,19,False,Cloudy,None,82,28.23,High
2026-01-08 19:00:00.872539,colaba_causeway,19,False,Rainy,Cricket Match,138,11.89,Critical
2026-01-08 19:00:00.872539,link_road,19,False,Clear,Accident,162,5.0,Critical
2026-01-08 20:00:00.872539,bandra_worli_sea_link,20,False,Rainy,Cricket Match,128,6.56,Critical
2026-01-08 20:00:00.872539,western_express_highway,20,False,Clear,None,87,32.34,Medium
2026-01-08 20:00:00.872539,eastern_express_highway,20,False,Foggy,None,123,9.95,Critical
2026-01-08 20:00:00.872539,dadar_tt,20,False,Clear,None,79,27.04,High
2026-01-08 20:00:00.872539,saki_naka,20,False,Clear,Cricket Match,138,7.3,Critical
2026-01-08 20:00:00.872539,jvlr,20,False,Rainy,None,150,5.0,Critical
2026-01-08 20:00:00.872539,colaba_causeway,20,False,Clear,None,113,16.85,High
2026-01-08 20:00:00.872539,link_road,20,False,Foggy,None,100,21.87,High
2026-01-08 21:00:00.872539,bandra_worli_sea_link,21,False,Rainy,None,114,17.77,High
2026-01-08 21:00:00.872539,western_express_highway,21,False,Foggy,None,73,35.98,Medium
2026-01-08 21:00:00.872539,eastern_express_highway,21,False,Cloudy,None,86,24.46,High
2026-01-08 21:00:00.872539,dadar_tt,21,False,Rainy,None,81,24.84,High
2026-01-08 21:00:00.872539,saki_naka,21,False,Rainy,None,144,5.0,Critical
2026-01-08 21:00:00.872539,jvlr,21,False,Clear,None,77,28.45,High
2026-01-08 21:00:00.872539,colaba_causeway,21,False,Cloudy,None,81,30.09,Medium
2026-01-08 21:00:00.872539,link_road,21,False,Cloudy,None,94,20.15,High
2026-01-08 22:00:00.872539,bandra_worli_sea_link,22,False,Clear,None,30,44.94,Medium
2026-01-08 22:00:00.872539,western_express_highway,22,False,Rainy,None,50,41.31,Medium
2026-01-08 22:00:00.872539,eastern_express_highway,22,False,Rainy,Accident,119,9.21,Critical
2026-01-08 22:00:00.872539,dadar_tt,22,False,Rainy,None,45,43.8,Medium
2026-01-08 22:00:00.872539,saki_naka,22,False,Foggy,None,25,51.57,Low
2026-01-08 22:00:00.872539,jvlr,22,False,Foggy,Cricket Match,44,46.58,Low
2026-01-08 22:00:00.872539,colaba_causeway,22,False,Rainy,None,35,45.77,Low
2026-01-08 22:00:00.872539,link_road,22,False,Rainy,Accident,109,19.27,High
2026-01-08 23:00:00.872539,bandra_worli_sea_link,23,False,Clear,Accident,76,28.46,High
2026-01-08 23:00:00.872539,western_express_highway,23,False,Rainy,VIP Movement,87,24.17,High
2026-01-08 23:00:00.872539,eastern_express_highway,23,False,Cloudy,None,41,42.67,Medium
2026-01-08 23:00:00.872539,dadar_tt,23,False,Rainy,None,54,34.97,Medium
2026-01-08 23:00:00.872539,saki_naka,23,False,Cloudy,VIP Movement,72,32.17,Medium
2026-01-08 23:00:00.872539,jvlr,23,False,Foggy,None,35,46.18,Low
2026-01-08 23:00:00.872539,colaba_causeway,23,False,Clear,None,33,46.18,Low
2026-01-08 23:00:00.872539,link_road,23,False,Rainy,None,61,33.8,Medium
2026-01-09 00:00:00.872539,bandra_worli_sea_link,0,False,Clear,None,48,41.53,Medium
2026-01-09 00:00:00.872539,western_express_highway,0,False,Clear,None,32,49.41,Low
2026-01-09 00:00:00.872539,eastern_express_highway,0,False,Clear,None,31,45.08,Low
2026-01-09 00:00:00.872539,dadar_tt,0,False,Cloudy,VIP Movement,75,26.71,High
2026-01-09 00:00:00.872539,saki_naka,0,False,Clear,None,34,44.15,Medium
2026-01-09 00:00:00.872539,jvlr,0,False,Clear,None,40,44.38,Medium
2026-01-09 00:00:00.872539,colaba_causeway,0,False,Cloudy,None,32,44.04,Medium
2026-01-09 00:00:00.872539,link_road,0,False,Rainy,None,49,36.7,Medium
2026-01-09 01:00:00.872539,bandra_worli_sea_link,1,False,Rainy,None,55,36.97,Medium
2026-01-09 01:00:00.872539,western_express_highway,1,False,Clear,None,47,45.64,Low
2026-01-09 01:00:00.872539,eastern_express_highway,1,False,Rainy,None,58,38.35,Medium
2026-01-09 01:00:00.872539,dadar_tt,1,False,Clear,None,34,39.69,Medium
2026-01-09 01:00:00.872539,saki_naka,1,False,Rainy,Cricket Match,87,27.15,High
2026-01-09 01:00:00.872539,jvlr,1,False,Rainy,None,48,43.62,Medium
2026-01-09 01:00:00.872539,colaba_causeway,1,False,Foggy,None,55,36.11,Medium
2026-01-09 01:00:00.872539,link_road,1,False,Rainy,None,46,43.77,Medium
2026-01-09 02:00:00.872539,bandra_worli_sea_link,2,False,Rainy,None,55,34.94,Medium
2026-01-09 02:00:00.872539,western_express_highway,2,False,Rainy,None,52,43.7,Medium
2026-01-09 02:00:00.872539,eastern_express_highway,2,False,Clear,None,29,50.09,Low
2026-01-09 02:00:00.872539,dadar_tt,2,False,Foggy,None,52,39.41,Medium
2026-01-09 02:00:00.872539,saki_naka,2,False,Rainy,None,31,49.85,Low
2026-01-09 02:00:00.872539,jvlr,2,False,Cloudy,None,48,38.43,Medium
2026-01-09 02:00:00.872539,colaba_causeway,2,False,Clear,None,20,49.94,Low
2026-01-09 02:00:00.872539,link_road,2,False,Clear,None,36,47.38,Low
2026-01-09 03:00:00.872539,bandra_worli_sea_link,3,False,Foggy,None,29,48.17,Low
2026-01-09 03:00:00.872539,western_express_highway,3,False,Foggy,None,35,40.74,Medium
2026-01-09 03:00:00.872539,eastern_express_highway,3,False,Rainy,None,59,39.93,Medium
2026-01-09 03:00:00.872539,dadar_tt,3,False,Clear,None,36,45.85,Low
2026-01-09 03:00:00.872539,saki_naka,3,False,Rainy,None,63,36.9,Medium
2026-01-09 03:00:00.872539,jvlr,3,False,Rainy,Cricket Match,70,35.13,Medium
2026-01-09 03:00:00.872539,colaba_causeway,3,False,Clear,None,21,51.0,Low
2026-01-09 03:00:00.872539,link_road,3,False,Foggy,None,36,49.59,Low
2026-01-09 04:00:00.872539,bandra_worli_sea_link,4,False,Foggy,None,25,51.99,Low
2026-01-09 04:00:00.872539,western_express_highway,4,False,Foggy,None,28,40.78,Medium
2026-01-09 04:00:00.872539,eastern_express_highway,4,False,Rainy,None,46,42.99,Medium
2026-01-09 04:00:00.872539,dadar_tt,4,False,Clear,None,48,37.1,Medium
2026-01-09 04:00:00.872539,saki_naka,4,False,Cloudy,None,25,47.3,Low
2026-01-09 04:00:00.872539,jvlr,4,False,Rainy,Cricket Match,54,41.38,Medium
2026-01-09 04:00:00.872539,colaba_causeway,4,False,Foggy,None,28,46.41,Low
2026-01-09 04:00:00.872539,link_road,4,False,Cloudy,None,49,38.76,Medium
2026-01-09 05:00:00.872539,bandra_worli_sea_link,5,False,Foggy,Accident,101,22.35,High
2026-01-09 05:00:00.872539,western_express_highway,5,False,Rainy,None,59,31.79,Medium
2026-01-09 05:00:00.872539,eastern_express_highway,5,False,Clear,None,22,50.18,Low
2026-01-09 05:00:00.872539,dadar_tt,5,False,Foggy,Cricket Match,74,34.45,Medium
2026-01-09 05:00:00.872539,saki_naka,5,False,Foggy,None,52,42.4,Medium
2026-01-09 05:00:00.872539,jvlr,5,False,Foggy,None,24,51.45,Low
2026-01-09 05:00:00.872539,colaba_causeway,5,False,Clear,None,30,45.31,Low
2026-01-09 05:00:00.872539,link_road,5,False,Clear,None,38,40.13,Medium
2026-01-09 06:00:00.872539,bandra_worli_sea_link,6,False,Clear,None,27,50.89,Low
2026-01-09 06:00:00.872539,western_express_highway,6,False,Cloudy,None,40,47.4,Low
2026-01-09 06:00:00.872539,eastern_express_highway,6,False,Cloudy,None,48,38.39,Medium
2026-01-09 06:00:00.872539,dadar_tt,6,False,Cloudy,Festival,69,34.06,Medium
2026-01-09 06:00:00.872539,saki_naka,6,False,Foggy,None,40,45.14,Low
2026-01-09 06:00:00.872539,jvlr,6,False,Clear,Festival,51,42.06,Medium
2026-01-09 06:00:00.872539,colaba_causeway,6,False,Rainy,None,57,43.27,Medium
2026-01-09 06:00:00.872539,link_road,6,False,Cloudy,None,29,44.4,Medium
2026-01-09 07:00:00.872539,bandra_worli_sea_link,7,False,Cloudy,None,39,40.9,Medium
2026-01-09 07:00:00.872539,western_express_highway,7,False,Rainy,None,42,42.33,Medium
2026-01-09 07:00:00.872539,eastern_express_highway,7,False,Clear,None,42,41.91,Medium
2026-01-09 07:00:00.872539,dadar_tt,7,False,Rainy,None,55,38.62,Medium
2026-01-09 07:00:00.872539,saki_naka,7,False,Rainy,None,32,44.26,Medium
2026-01-09 07:00:00.872539,jvlr,7,False,Clear,None,40,42.06,Medium
2026-01-09 07:00:00.872539,colaba_causeway,7,False,Cloudy,None,23,50.18,Low
2026-01-09 07:00:00.872539,link_road,7,False,Clear,VIP Movement,37,41.5,Medium
2026-01-09 08:00:00.872539,bandra_worli_sea_link,8,False,Cloudy,None,23,55.07,Low
2026-01-09 08:00:00.872539,western_express_highway,8,False,Cloudy,None,47,40.11,Medium
2026-01-09 08:00:00.872539,eastern_express_highway,8,False,Clear,None,31,48.39,Low
2026-01-09 08:00:00.872539,dadar_tt,8,False,Foggy,None,48,36.53,Medium
2026-01-09 08:00:00.872539,saki_naka,8,False,Foggy,Cricket Match,42,42.59,Medium
2026-01-09 08:00:00.872539,jvlr,8,False,Rainy,None,48,38.42,Medium
2026-01-09 08:00:00.872539,colaba_causeway,8,False,Clear,VIP Movement,36,42.94,Medium
2026-01-09 08:00:00.872539,link_road,8,False,Cloudy,None,44,43.68,Medium
2026-01-09 09:00:00.872539,bandra_worli_sea_link,9,False,Clear,Accident,188,5.0,Critical
2026-01-09 09:00:00.872539,western_express_highway,9,False,Foggy,Cricket Match,108,21.47,High
2026-01-09 09:00:00.872539,eastern_express_highway,9,False,Foggy,None,86,29.12,High
2026-01-09 09:00:00.872539,dadar_tt,9,False,Rainy,None,120,10.84,Critical
2026-01-09 09:00:00.872539,saki_naka,9,False,Cloudy,VIP Movement,180,5.0,Critical
2026-01-09 09:00:00.872539,jvlr,9,False,Clear,None,78,26.3,High
2026-01-09 09:00:00.872539,colaba_causeway,9,False,Clear,None,111,14.9,Critical
2026-01-09 09:00:00.872539,link_road,9,False,Cloudy,None,96,22.18,High
2026-01-09 10:00:00.872539,bandra_worli_sea_link,10,False,Clear,VIP Movement,136,5.0,Critical
2026-01-09 10:00:00.872539,western_express_highway,10,False,Clear,None,74,31.66,Medium
2026-01-09 10:00:00.872539,eastern_express_highway,10,False,Rainy,None,118,15.68,High
2026-01-09 10:00:00.872539,dadar_tt,10,False,Cloudy,None,101,23.91,High
2026-01-09 10:00:00.872539,saki_naka,10,False,Clear,None,87,17.64,High
2026-01-09 10:00:00.872539,jvlr,10,False,Clear,None,88,16.13,High
2026-01-09 10:00:00.872539,colaba_causeway,10,False,Cloudy,Accident,152,8.69,Critical
2026-01-09 10:00:00.872539,link_road,10,False,Foggy,None,75,22.58,High
2026-01-09 11:00:00.872539,bandra_worli_sea_link,11,False,Foggy,None,110,12.63,Critical
2026-01-09 11:00:00.872539,western_express_highway,11,False,Clear,None,87,20.7,High
2026-01-09 11:00:00.872539,eastern_express_highway,11,False,Foggy,None,114,15.36,High
2026-01-09 11:00:00.872539,dadar_tt,11,False,Cloudy,None,114,15.55,High
2026-01-09 11:00:00.872539,saki_naka,11,False,Cloudy,None,115,10.47,Critical
2026-01-09 11:00:00.872539,jvlr,11,False,Foggy,None,123,17.2,High
2026-01-09 11:00:00.872539,colaba_causeway,11,False,Clear,None,119,12.65,Critical
2026-01-09 11:00:00.872539,link_road,11,False,Foggy,Festival,133,8.63,Critical
2026-01-09 12:00:00.872539,bandra_worli_sea_link,12,False,Clear,None,50,42.11,Medium
2026-01-09 12:00:00.872539,western_express_highway,12,False,Cloudy,None,46,45.34,Low
2026-01-09 12:00:00.872539,eastern_express_highway,12,False,Cloudy,None,43,42.71,Medium
2026-01-09 12:00:00.872539,dadar_tt,12,False,Clear,None,25,49.64,Low
2026-01-09 12:00:00.872539,saki_naka,12,False,Clear,None,29,49.34,Low
2026-01-09 12:00:00.872539,jvlr,12,False,Clear,None,25,50.96,Low
2026-01-09 12:00:00.872539,colaba_causeway,12,False,Cloudy,None,33,44.78,Medium
2026-01-09 12:00:00.872539,link_road,12,False,Foggy,Accident,57,38.05,Medium
2026-01-09 13:00:00.872539,bandra_worli_sea_link,13,False,Cloudy,None,37,47.34,Low
2026-01-09 13:00:00.872539,western_express_highway,13,False,Foggy,None,41,45.14,Low
2026-01-09 13:00:00.872539,eastern_express_highway,13,False,Cloudy,Accident,62,33.58,Medium
2026-01-09 13:00:00.872539,dadar_tt,13,False,Foggy,None,53,37.82,Medium
2026-01-09 13:00:00.872539,saki_naka,13,False,Clear,None,45,42.91,Medium
2026-01-09 13:00:00.872539,jvlr,13,False,Clear,None,33,47.86,Low
2026-01-09 13:00:00.872539,colaba_causeway,13,False,Rainy,Accident,130,8.33,Critical
2026-01-09 13:00:00.872539,link_road,13,False,Cloudy,None,42,45.97,Low
2026-01-09 14:00:00.872539,bandra_worli_sea_link,14,False,Foggy,None,53,44.77,Medium
2026-01-09 14:00:00.872539,western_express_highway,14,False,Cloudy,Cricket Match,72,25.43,High
2026-01-09 14:00:00.872539,eastern_express_highway,14,False,Cloudy,None,42,40.53,Medium
2026-01-09 14:00:00.872539,dadar_tt,14,False,Cloudy,None,35,42.97,Medium
2026-01-09 14:00:00.872539,saki_naka,14,False,Rainy,None,63,32.98,Medium
2026-01-09 14:00:00.872539,jvlr,14,False,Clear,None,24,54.96,Low
2026-01-09 14:00:00.872539,colaba_causeway,14,False,Cloudy,None,34,50.07,Low
2026-01-09 14:00:00.872539,link_road,14,False,Rainy,None,42,38.97,Medium
2026-01-09 15:00:00.872539,bandra_worli_sea_link,15,False,Cloudy,None,23,55.29,Low
